family,name_x,name_y,len_x,len_y,pid,bin,n_ref,sw_prec,sw_rec,sw_f1,sw_ms,dedal_prec,dedal_rec,dedal_f1,dedal_ms
PF00041,TENA_CHICK/683-773,MYPC2_CHICK/925-1012,91,88,0.0918,0,77,1.0,0.2597,0.4124,15.07,0.6933,0.6753,0.6842,357.33
PF00089,CFAI_HUMAN/340-569,MPR_BACSU/95-311,230,217,0.0964,0,198,0.7241,0.1061,0.185,92.85,0.2211,0.2121,0.2165,347.51
PF00013,A4S9J6_OSTLU/116-182,B0X5D3_CULQU/949-1011,67,63,0.0857,0,60,0.6522,0.5,0.566,7.91,0.7049,0.7167,0.7107,363.36
PF00595,DSH_DROME/252-337,PSMD9_YEAST/99-191,86,93,0.0825,0,82,0.625,0.3049,0.4098,15.2,0.5091,0.3415,0.4088,362.82
PF00583,NAGS1_ARATH/453-563,O64737_ARATH/24-151,111,128,0.0977,0,106,0.8,0.3396,0.4768,26.74,0.5062,0.3868,0.4385,488.51
PF00072,CMPA_BACSU/4-118,CHEB_ECOLI/6-120,115,115,0.0917,0,110,0.6267,0.4273,0.5081,25.15,0.6727,0.6727,0.6727,399.13
PF00104,NHR6_CAEEL/383-571,G0N3B6_CAEBE/94-311,189,218,0.0452,0,186,0.0,0.0,0.0,77.48,0.512,0.457,0.483,398.99
PF00027,Q89V10_BRADU/66-154,Q695H0_CHLRE/446-536,89,91,0.0957,0,86,1.0,0.1744,0.297,15.9,0.7,0.6512,0.6747,392.19
PF00041,FINC_BOVIN/610-695,CNTN1_CHICK/801-890,86,90,0.0935,0,69,0.66,0.4783,0.5546,14.46,0.5976,0.7101,0.649,371.54
PF00027,O83960_TREPA/316-400,Q8EE39_SHEON/44-132,85,89,0.0889,0,84,0.0,0.0,0.0,14.29,0.0,0.0,0.0,368.2
PF00027,Q8DH24_THEVB/44-132,Q8A5Q1_BACTN/26-115,89,90,0.0968,0,86,0.0,0.0,0.0,15.01,0.9167,0.8953,0.9059,698.97
PF00583,Y378_MYCLE/222-334,YITI_BACSU/12-123,113,112,0.0902,0,103,1.0,0.2136,0.352,26.86,0.6353,0.5243,0.5745,472.14
PF00104,A8WZI1_CAEBR/186-395,H3CNQ1_TETNG/383-573,210,191,0.0866,0,170,0.3585,0.1118,0.1704,74.79,0.8289,0.3706,0.5122,372.31
